severity,category,jira_key,schedule_key,project_key,issue_type,summary,field,old_value,new_value,color,message,reviewer_action,source_row
Warning,StoryMissingEpicLink,CORE-899999,,CORE,Story,Client Walkthrough - Orphan child story with no Epic Link,,,,,Story/task row has no Epic Link and cannot contribute to epic completion.,Confirm the Jira export includes Epic Link for child work.,202
Warning,ExcludedMissingRollup,CORE-1049,,CORE,Epic,Client Walkthrough - Marketplace experiment missing rollup example,Rollup,,,review_needed,Epic has no initiative parent key.,"Add the required initiative parent or fixVersion in Jira, then rerun.",26
Warning,MissingDependencyTarget,CORE-1006,CORE-1006,CORE,Epic,Client Walkthrough - Vendor gateway missing dependency example,Dependency Review,,EXT-999,dependency_review,Dependency target 'EXT-999' is not an included epic.,Confirm the target epic is in the Jira export and meets rollup/resource rules.,23
Review,ChangedName,CORE-1000,CORE-1000,CORE,Epic,Client Walkthrough - Identity API renamed in Jira,Name,Client Walkthrough - Identity API name before Jira rename,Client Walkthrough - Identity API renamed in Jira,changed_cell,Name changed from 'Client Walkthrough - Identity API name before Jira rename' to 'Client Walkthrough - Identity API renamed in Jira'.,Review the changed sandbox cell.,17
Info,ChangedField,CORE-1000,CORE-1000,CORE,Epic,Client Walkthrough - Identity API renamed in Jira,Jira Target End,2026-03-02,2026-03-09,changed_cell,Jira Target End changed from '2026-03-02' to '2026-03-09'.,Review the changed sandbox cell.,17
Info,ChangedField,CORE-1001,CORE-1001,CORE,Epic,Client Walkthrough - Login service progress example,% Complete,11,63,changed_cell,% Complete changed from '11' to '63'.,Review the changed sandbox cell.,18
Info,ChangedField,CORE-1001,CORE-1001,CORE,Epic,Client Walkthrough - Login service progress example,Completed Story Points,3,17,changed_cell,Completed Story Points changed from '3' to '17'.,Review the changed sandbox cell.,18
Info,ChangedField,CORE-1001,CORE-1001,CORE,Epic,Client Walkthrough - Login service progress example,Logged Hours,24,38,changed_cell,Logged Hours changed from '24' to '38'.,Review the changed sandbox cell.,18
Info,ChangedField,CORE-1001,CORE-1001,CORE,Epic,Client Walkthrough - Login service progress example,Story Points per 8 Hours,5.33,6.18,changed_cell,Story Points per 8 Hours changed from '5.33' to '6.18'.,Review the changed sandbox cell.,18
Info,ChangedField,CORE-1001,CORE-1001,CORE,Epic,Client Walkthrough - Login service progress example,Jira Target Start,2026-02-09,2026-02-12,changed_cell,Jira Target Start changed from '2026-02-09' to '2026-02-12'.,Review the changed sandbox cell.,18
Info,ChangedField,CORE-1001,CORE-1001,CORE,Epic,Client Walkthrough - Login service progress example,Jira Target End,2026-03-16,2026-03-30,changed_cell,Jira Target End changed from '2026-03-16' to '2026-03-30'.,Review the changed sandbox cell.,18
Info,ChangedField,CORE-1002,CORE-1002,CORE,Epic,Client Walkthrough - Access audit completion example,% Complete,48,100,changed_cell,% Complete changed from '48' to '100'.,Review the changed sandbox cell.,19
Info,ChangedField,CORE-1002,CORE-1002,CORE,Epic,Client Walkthrough - Access audit completion example,Completed Story Points,10,21,changed_cell,Completed Story Points changed from '10' to '21'.,Review the changed sandbox cell.,19
Info,ChangedField,CORE-1002,CORE-1002,CORE,Epic,Client Walkthrough - Access audit completion example,Story Points per 8 Hours,26.67,9.33,changed_cell,Story Points per 8 Hours changed from '26.67' to '9.33'.,Review the changed sandbox cell.,19
Info,CompletedSinceLastUpdate,CORE-1002,CORE-1002,CORE,Epic,Client Walkthrough - Access audit completion example,Status,In Progress,Done,changed_cell,Epic is now marked done in Jira.,Confirm completed epic can remain inactive/hidden in the sandbox.,19
Review,RollupMove,CORE-1003,CORE-1003,CORE,Epic,Client Walkthrough - Billing integration rollup move example,Rollup Key,INIT-100,INIT-200,changed_cell,Rollup Key changed from 'INIT-100' to 'INIT-200'.,Review the changed sandbox cell.,20
